nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_05_20,02_05_20,03_05_20,04_05_20,05_05_20,06_05_20,07_05_20,08_05_20,09_05_20,10_05_20,11_05_20,12_05_20,13_05_20,14_05_20,15_05_20,16_05_20,17_05_20,18_05_20,19_05_20,20_05_20,21_05_20,22_05_20,23_05_20,24_05_20,25_05_20,26_05_20,27_05_20,28_05_20,29_05_20,30_05_20,31_05_20,total
Lençóis,83242,Lençóis,Lençóis - 83242,-12.5575,-41.388889,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,1.0,0.6,1.4,0.0,0.8,0.2,0.0,0.0,0.8,35.7,1.3,0.0,0.0,0.0,12.3,4.0,1.0,0.1,1.3,3.4,10.9,0.0,0.0,13.8,2.0,1.0,0.0,0.0,91.6
Piatã,A430,Piatã,Piatã - A430,-13.155681,-41.774125,Chapada Diamantina,RPGA do Rio de Contas,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.0,0.4,1.0,2.2,7.2,0.2,0.0,0.2,0.8,12.0,7.6,2.6,0.0,1.8,1.2,0.8,0.0,0.0,0.4,0.2,0.0,0.0,0.0,41.0
Livramento de Nossa Senhora,291950401U,Livramento de Nossa Senhora,Livramento de Nossa Senhora - 291950401U,-13.682872,-41.841236,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.4,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8
Iaçu,51280000,Iaçu,Iaçu - 51280000,-12.7622,-40.2136,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.6,0.0,0.0,0.0,0.4,2.2,0.6,0.0,0.6,0.0,0.0,7.6,1.2,0.0,2.2,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,17.4
Lençóis,A425,Lençóis,Lençóis - A425,-12.557854,-41.388808,Chapada Diamantina,RPGA do Rio Paraguaçu,0.2,0.0,0.0,1.0,0.6,1.4,0.0,0.6,0.2,0.0,0.0,0.6,34.4,1.4,0.0,0.0,0.0,12.4,4.2,1.0,0.0,1.2,3.2,10.8,0.0,0.0,13.6,2.2,1.0,0.0,0.0,90.0
Itaetê,,Itaetê,Itaetê,-12.991944,-40.960833,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,2.2,0.0,0.0,0.0,0.0,0.2,4.0,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.0,10.8
João Amaro,PG-PR-16,Iaçu,Iaçu (João Amaro) - PG-PR-16,-12.800391,-40.363139,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,2.8,0.0,0.0,0.8,4.4,0.0,0.0,0.0,0.8,16.8,0.0,0.0,0.0,27.6
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.2,0.0,0.4,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.4,10.0,0.0,0.0,0.0,0.0,5.0,0.4,0.8,0.0,1.2,5.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,33.0
Machado Portela,PG-PR-26,Marcionílio Souza,Marcionílio Souza (Machado Portela) - PG-PR-26,-13.153732,-40.768155,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,7.8,0.2,0.0,0.0,4.0,2.0,0.0,0.0,0.4,0.4,0.2,0.0,0.0,3.8,8.2,0.0,0.0,0.0,33.8
