municipio,estacao,regiao,rpga,latitude,longitude,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Itaberaba,Itaberaba - A408,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.524,-40.3,18.21,19.6,8.6,13.0,17.4,42.2,41.8,46.81,38.0,7.4,15.61,16.0
Macajuba,Macajuba - A412,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.132,-40.354,17.4,28.2,135.8,37.2,40.6,68.61,48.4,74.01,47.41,7.41,30.41,20.4
Morro do Chapéu,Morro do Chapéu - 83184,Chapada Diamantina,RPGA do Rio Salitre,-11.217,-41.217,6.3,164.7,79.51,53.7,18.3,50.8,38.31,34.1,23.6,2.41,15.9,44.0
Piatã,Piatã - A430,Chapada Diamantina,RPGA do Rio de Contas,-13.156,-41.774,10.6,86.4,155.6,115.6,28.4,38.81,31.6,50.8,30.2,39.0,38.61,39.0
Iaçu,Iaçu - 51280000,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.762,-40.214,8.21,64.61,83.6,49.6,37.2,27.6,19.8,35.4,24.4,8.6,16.2,11.2
Lençóis,Lençóis - A425,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.558,-41.389,1.8,62.4,171.6,243.6,69.01,51.6,191.2,61.41,35.01,90.8,44.8,45.4
Rio do Pires,Rio do Pires - PM-CL-04,Chapada Diamantina,RPGA dos Rios Paramirim e Santo Onofre,-13.117,-42.284,16.2,111.4,230.01,66.81,6.8,0.0,0.4,0.0,2.0,1.2,48.8,18.8
Iaçu,Iaçu - PG-CL-05,Chapada Diamantina,RPGA do Rio Paraguaçu,-12.911,-40.032,6.21,45.2,133.8,43.2,8.21,16.2,13.4,21.6,16.41,6.6,18.4,8.0
Cipó,Cipó - 83192,Nordeste,RPGA do Rio Itapicuru,-11.083,-38.517,16.4,31.1,147.8,20.0,31.0,111.5,92.0,34.1,25.2,13.11,7.4,4.3
Conde,Conde - A431,Nordeste,RPGA do Rio Itapicuru,-12.036,-37.683,37.0,5.81,217.0,73.2,88.21,305.6,162.61,89.4,97.0,100.81,43.6,126.8
Euclides da Cunha,Euclides da Cunha - A442,Nordeste,RPGA do Rio Itapicuru,-10.537,-38.997,31.0,16.4,100.21,15.0,52.81,146.8,113.81,28.8,13.8,9.0,3.41,3.0
Queimadas,Queimadas - A436,Nordeste,RPGA do Rio Itapicuru,-10.985,-39.617,13.2,14.2,93.61,80.81,5.0,47.41,48.4,32.2,27.0,4.4,31.4,26.0
Jacobina,Jacobina - A440,Nordeste,RPGA do Rio Itapicuru,-11.205,-40.465,18.8,13.4,181.0,224.4,56.61,0.0,1.21,36.0,6.2,24.6,44.8,37.2
Serrinha,Serrinha - A441,Nordeste,RPGA do Rio Paraguaçu,-11.665,-39.023,8.21,38.4,181.4,21.6,74.81,111.0,75.2,70.4,54.01,1.4,2.81,14.8
Senhor do Bonfim,Senhor do Bonfim - A428,Nordeste,RPGA do Rio Itapicuru,-10.443,-40.148,7.6,85.0,105.8,52.0,11.6,69.2,71.8,35.0,15.6,32.41,6.6,87.2
Capim Grosso,Capim Grosso (Pedras Altas) - 50430000,Nordeste,RPGA do Rio Itapicuru,-11.183,-40.047,4.2,40.41,68.61,22.0,29.0,25.2,24.4,26.6,11.4,4.8,45.4,15.6
Capim Grosso,Capim Grosso - IT-CL-03,Nordeste,RPGA do Rio Itapicuru,-11.368,-40.034,43.6,33.6,85.6,36.2,15.6,33.0,36.81,34.2,19.0,10.21,61.2,17.6
Pé de Serra,Pé de Serra - PG-CL-07,Nordeste,RPGA do Rio Paraguaçu,-11.837,-39.659,7.2,8.0,212.4,16.21,18.0,52.41,35.0,31.6,27.0,4.8,26.2,9.61
