nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_01_19,02_01_19,03_01_19,04_01_19,05_01_19,06_01_19,07_01_19,08_01_19,09_01_19,10_01_19,11_01_19,12_01_19,13_01_19,14_01_19,15_01_19,16_01_19,17_01_19,18_01_19,19_01_19,20_01_19,21_01_19,22_01_19,23_01_19,24_01_19,25_01_19,26_01_19,27_01_19,28_01_19,29_01_19,30_01_19,31_01_19,total
Itaberaba,A408,Itaberaba,Itaberaba - A408,-12.524000000000001,-40.3,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.0,2.6,0.0,0.2,0.0,0.4,0.4,7.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,4.0,0.0,0.0,18.21
Macajuba,A412,Macajuba,Macajuba - A412,-12.132,-40.354,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.2,0.4,1.0,0.0,3.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,4.0,0.2,17.4
Itaberaba,83244,Itaberaba,Itaberaba - 83244,-12.517000000000001,-40.283,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.0,2.6,0.0,0.5,0.0,1.6,14.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,4.4,2.4,0.0,28.5
Lençóis,83242,Lençóis,Lençóis - 83242,-12.557,-41.388999999999996,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,2.0
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.217,-41.217,Chapada Diamantina,RPGA do Rio Salitre,0.4,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2.8,1.7,0.0,6.3
Piatã,A430,Piatã,Piatã - A430,-13.155999999999999,-41.773999999999994,Chapada Diamantina,RPGA do Rio de Contas,0.2,0.0,0.0,0.0,0.0,8.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,10.6
Iaçu,51280000,Iaçu,Iaçu - 51280000,-12.762,-40.214,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.4,0.0,0.2,0.0,0.0,3.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,0.0,8.21
Lençóis,A425,Lençóis,Lençóis - A425,-12.558,-41.388999999999996,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
Itaetê,,Itaetê,Itaetê,-12.992,-40.961000000000006,Chapada Diamantina,RPGA do Rio Paraguaçu,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,3.0,0.6,0.0,7.2
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.772,-41.541000000000004,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,14.0
