nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_02_18,02_02_18,03_02_18,04_02_18,05_02_18,06_02_18,07_02_18,08_02_18,09_02_18,10_02_18,11_02_18,12_02_18,13_02_18,14_02_18,15_02_18,16_02_18,17_02_18,18_02_18,19_02_18,20_02_18,21_02_18,22_02_18,23_02_18,24_02_18,25_02_18,26_02_18,27_02_18,28_02_18,total
Itaberaba,A408,Itaberaba,Itaberaba - A408,-12.524000000000001,-40.3,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,7.4,9.4,0.0,18.8,7.4,3.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,49.0
Macajuba,A412,Macajuba,Macajuba - A412,-12.132,-40.354,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,1.4,0.6,31.2,0.0,35.6,3.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.01
Itaberaba,83244,Itaberaba,Itaberaba - 83244,-12.517000000000001,-40.283,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,7.2,9.0,0.0,19.0,8.0,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,46.7
Lençóis,83242,Lençóis,Lençóis - 83242,-12.557,-41.388999999999996,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,18.4,7.8,24.2,4.5,4.4,1.0,32.9,4.5,15.2,0.2,0.0,1.1,0.0,1.2,0.0,0.4,3.1,0.0,0.0,0.0,0.0,0.8,3.3,3.0,0.0,0.0,126.0
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.217,-41.217,Chapada Diamantina,RPGA do Rio Salitre,0.0,0.0,56.5,16.9,32.7,0.0,17.7,2.2,35.0,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.4,0.0,0.0,0.0,191.3
Piatã,A430,Piatã,Piatã - A430,-13.155999999999999,-41.773999999999994,Chapada Diamantina,RPGA do Rio de Contas,18.6,0.0,1.2,18.2,16.4,3.6,12.4,6.2,9.6,0.0,0.4,0.6,0.0,0.0,0.0,2.8,4.6,6.8,13.4,0.0,0.0,0.0,3.2,10.0,1.4,5.4,0.2,0.0,135.0
Lençóis,A425,Lençóis,Lençóis - A425,-12.558,-41.388999999999996,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,17.8,8.4,25.4,4.6,4.6,1.2,30.6,4.8,14.6,0.2,0.0,1.2,0.0,1.2,0.0,0.2,3.4,0.0,0.0,0.0,0.0,0.8,3.6,3.0,0.0,0.0,125.61
Wagner,PG-PR-22,Wagner,Wagner - PG-PR-22,-12.29,-41.162,Chapada Diamantina,RPGA do Rio Paraguaçu,1.5,0.0,5.5,7.0,17.75,0.0,14.0,0.0,8.5,0.75,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.25
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.772,-41.541000000000004,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,26.75,8.25,11.75,2.25,3.75,2.0,10.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.5,0.0,0.0,70.75
Cascavel,PG-PR-27,Cascavel,Cascavel - PG-PR-27,-13.286,-41.288000000000004,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,4.5,3.5,2.0,1.5,1.75,13.5,27.0,7.25,1.0,1.0,3.0,0.0,0.25,2.25,0.75,0.75,0.5,0.5,0.5,4.75,0.0,0.0,0.0,0.0,0.0,0.0,76.25
